customer_id,show_id,customer_name,age,gender,country,subscription_type,watch_time_minutes,rating
c5000,s1565,Dr. Matthew Powell,74,Female,Australia,Premium,1241,3
c5001,s13015,Nathan Wade,48,Other,Japan,Premium,3433,3
c5002,s19167,Danielle Taylor,76,Male,Brazil,Premium,3688,4
c5003,s3262,Austin Jones,65,Male,Canada,Basic,603,4
c5004,s13041,Kenneth Collins,51,Male,USA,Standard,4928,1
c5005,s10119,Christy Palmer,18,Other,USA,Basic,2257,4
c5006,s14866,Christopher Brooks,69,Female,UK,Basic,895,1
c5007,s8779,Isaiah Brown,57,Other,Japan,Premium,1771,1
c5008,s17930,Mrs. Angela Ochoa,36,Other,Brazil,Standard,3189,5
c5009,s14122,Shawn Davis,63,Other,Brazil,Basic,3347,2
c5010,s16552,Edward Jordan,47,Male,Canada,Basic,792,3
c5011,s15532,Kelly Stevenson,77,Other,UK,Premium,3641,2
c5012,s1704,Frances Edwards,14,Female,India,Premium,3665,2
c5013,s20061,Christina Mills,44,Other,UK,Standard,2838,3
c5014,s10385,Patricia Young,80,Other,Australia,Standard,2345,2
c5015,s15885,Martha Blair,14,Other,Australia,Standard,2023,3
c5016,s16430,Jeffrey Calderon,69,Male,Germany,Standard,1779,4
c5017,s7072,Amanda Jackson,73,Male,Canada,Basic,1439,4
c5018,s11385,Daniel Deleon,28,Female,France,Premium,2483,3
c5019,s6857,Victoria Thompson,22,Female,Canada,Premium,4732,1
c5020,s6057,Donald Andrews,33,Other,UK,Premium,2204,5
c5021,s8727,Brittney Sanchez,64,Female,UK,Premium,4656,5
c5022,s19099,Amber Robinson,38,Female,Australia,Premium,3532,2
c5023,s16071,Erin Bryant,25,Female,Germany,Standard,4193,1
c5024,s20222,Catherine Kennedy,59,Male,Japan,Premium,372,2
c5025,s7612,Amy Johnson,66,Male,USA,Standard,3662,4
c5026,s9246,Amy Collins,15,Female,Germany,Standard,699,5
c5027,s14607,Heather Frey,55,Other,Japan,Standard,3024,4
c5028,s18792,Kimberly Hester,47,Male,USA,Premium,2431,2
c5029,s11929,Michael Krause,74,Male,USA,Basic,490,2
c5030,s18788,Rhonda Turner,36,Female,UK,Premium,53,3
c5031,s10083,Jacob Fuller,55,Female,India,Premium,2833,4
c5032,s3785,Sarah Nelson,19,Other,USA,Standard,1579,2
c5033,s18114,Sharon Tran MD,26,Female,Australia,Premium,3720,4
c5034,s15532,Ryan Monroe,58,Female,Brazil,Premium,3370,5
c5035,s8937,Nancy Hogan,48,Other,India,Premium,1686,5
c5036,s20638,Carrie Moody DDS,43,Other,South Korea,Basic,3943,1
c5037,s9644,Amber Stevens,57,Male,Japan,Standard,1876,5
c5038,s4315,Debra Allen,39,Male,India,Basic,105,2
c5039,s12890,Cindy Morris,23,Male,Japan,Premium,455,1
c5040,s8376,Howard Williams,27,Female,Australia,Premium,1515,4
c5041,s8063,Brittany Bright,17,Other,USA,Basic,398,3
c5042,s15386,Karen Brady,72,Other,UK,Standard,3943,5
c5043,s4534,Peter Martin,33,Male,Brazil,Premium,988,1
c5044,s6908,Adrian Perez,69,Other,Australia,Basic,2142,4
c5045,s20228,Mike Fletcher,18,Male,Brazil,Standard,3607,4
c5046,s15552,Ryan Wallace,79,Other,USA,Basic,4565,1
c5047,s8385,Peter Hill,48,Female,Germany,Standard,276,2
c5048,s8153,Anne Wright,50,Male,Canada,Standard,1226,5
c5049,s15510,Jason Snow,26,Female,Japan,Standard,1560,5
c5050,s20841,Gabriella Perez,13,Other,France,Standard,2517,2
c5051,s20092,Angelica Butler,29,Other,Japan,Standard,4177,3
c5052,s16413,Alexander Friedman,31,Male,South Korea,Basic,489,5
c5053,s3630,Dale Vasquez,64,Other,France,Premium,4186,2
c5054,s9875,Devin Sims,66,Male,France,Basic,472,1
c5055,s13653,Kristen Little,52,Female,Brazil,Standard,2511,1
c5056,s13743,Colleen Dunlap,50,Female,UK,Basic,3759,5
c5057,s15066,Bryan Clark,61,Other,Japan,Standard,92,5
c5058,s14903,Matthew Matthews,22,Female,UK,Premium,3810,4
c5059,s16943,Jeffrey Foster,76,Female,Germany,Basic,3054,5
c5060,s7528,Michelle Hernandez,70,Female,Japan,Standard,1481,3
c5061,s8982,Monica Wise,15,Male,Australia,Basic,457,3
c5062,s10673,Megan Hammond,79,Other,South Korea,Basic,376,1
c5063,s10113,Jennifer David,46,Female,UK,Premium,578,3
c5064,s14344,Sabrina Hanson,20,Other,UK,Standard,3737,3
c5065,s1961,Heather Olson,19,Other,Canada,Basic,1222,1
c5066,s1137,Michael Barnett,54,Male,Japan,Basic,4763,4
c5067,s13335,Vincent Cole,77,Other,Brazil,Premium,4135,3
c5068,s18448,Mitchell Garcia,77,Other,India,Premium,498,3
c5069,s2596,Nicholas Stevenson,70,Other,Japan,Premium,2756,3
c5070,s2867,Tiffany Schmidt,49,Male,UK,Premium,144,3
c5071,s11532,Richard Mills,32,Female,Brazil,Standard,4333,5
c5072,s13184,Karen Moore,15,Female,Japan,Premium,1108,1
c5073,s20609,Vickie Harris,68,Female,France,Standard,3357,5
c5074,s5900,Jonathan Ramirez,47,Male,Australia,Basic,78,5
c5075,s19347,Ms. Deborah Coleman,69,Female,Brazil,Standard,2336,3
c5076,s17015,Alan Scott,41,Female,USA,Premium,1934,1
c5077,s9424,Danny Boone,46,Male,France,Basic,2218,4
c5078,s8127,William Cuevas,51,Female,India,Standard,3155,5
c5079,s6646,Stanley Mcdonald,41,Male,India,Premium,586,5
c5080,s7103,Stephen Owens,36,Other,Germany,Standard,567,5
c5081,s6437,Michelle Henderson,22,Female,France,Basic,436,4
c5082,s12529,Maria Sloan,71,Female,Germany,Premium,1577,5
c5083,s2046,Kenneth Howard,30,Male,India,Premium,2413,3
c5084,s20716,Jennifer Lawson,33,Female,South Korea,Premium,3461,5
c5085,s13661,John Jacobs,78,Female,Australia,Basic,1162,1
c5086,s14334,Angela Martinez,48,Female,Australia,Basic,3921,1
c5087,s11667,Peter Allen,58,Female,Brazil,Standard,1054,2
c5088,s9589,Susan Jefferson,38,Female,USA,Premium,2852,1
c5089,s6262,William Hernandez,50,Female,South Korea,Basic,2088,4
c5090,s17550,Alyssa Bernard,27,Female,UK,Premium,1525,3
c5091,s12851,Joseph Waller,55,Male,India,Basic,3678,2
c5092,s1954,Rhonda Hudson,16,Male,South Korea,Basic,3893,1
c5093,s12535,Melissa Parsons DVM,79,Male,South Korea,Premium,2609,3
c5094,s20687,Jessica Wright,40,Female,Canada,Basic,592,4
c5095,s18370,Stephanie Collier,49,Female,Brazil,Basic,3173,5
c5096,s9735,Michelle Young,77,Other,South Korea,Premium,1393,4
c5097,s20149,Frank Mcdaniel,62,Male,Japan,Premium,2642,5
c5098,s18799,Mark Duran,17,Other,South Korea,Standard,3834,2
c5099,s14860,Tyler Cox,51,Other,Germany,Standard,539,2
c5100,s3849,Brandon Johnson,21,Male,France,Basic,2883,4
c5101,s11584,Yvette Young,37,Other,France,Standard,2908,1
c5102,s11374,Joshua Watson,66,Female,Brazil,Basic,4944,4
c5103,s18581,Daniel Smith,26,Female,UK,Premium,277,1
c5104,s19961,Kristen Hutchinson,80,Other,France,Premium,2677,4
c5105,s18177,Eric Smith,72,Other,Canada,Basic,4727,3
c5106,s18519,Isaac Rodriguez,15,Other,USA,Basic,3604,4
